Gender,Age,Ethnicity,Educational_Level,Income,Country_region,Hotel_Type,Expected_checkin,Expected_checkout,Booking_date,Adults,Children,Babies,Meal_Type,Visted_Previously,Previous_Cancellations,Deposit_type,Booking_channel,Required_Car_Parking,Reservation_Status,Use_Promotion,Discount_Rate,Room_Rate
M,40,Asian American,Grad,50K -- 100K,East,Airport Hotels,2016-05-11,2016-05-12,2016-04-26,5,1,0,BB,Yes,No,No Deposit,Online,No,Check-In,Yes,10,156
M,48,caucasian,Grad,<25K,South,Airport Hotels,2016-11-10,2016-11-13,2016-10-13,2,1,0,BB,No,No,No Deposit,Direct,Yes,Check-In,Yes,10,153
M,67,caucasian,High-School,50K -- 100K,East,Airport Hotels,2016-04-16,2016-04-17,2015-09-18,4,1,1,HB,Yes,No,No Deposit,Online,No,Canceled,Yes,10,205
M,39,African American,College,<25K,North,Resort,2015-04-20,2015-04-21,2014-12-15,3,2,0,FB,Yes,Yes,No Deposit,Online,Yes,Canceled,Yes,10,163
M,56,Latino,High-School,50K -- 100K,South,Airport Hotels,2015-10-02,2015-10-03,2015-09-20,4,1,0,FB,No,No,Refundable,Online,No,Check-In,Yes,25,199
F,54,caucasian,Mid-School,>100K,North,City Hotel,2016-01-09,2016-01-13,2015-09-18,1,2,1,BB,Yes,Yes,No Deposit,Direct,Yes,Check-In,No,0,121
M,55,caucasian,Mid-School,50K -- 100K,East,City Hotel,2016-02-27,2016-03-01,2015-12-08,1,2,0,BB,No,No,No Deposit,Online,Yes,No-Show,Yes,40,150
F,27,caucasian,College,50K -- 100K,South,Resort,2016-11-23,2016-11-26,2016-09-14,1,1,0,FB,No,No,Non-Refundable,Online,Yes,Check-In,Yes,10,192
M,60,Latino,Mid-School,<25K,South,City Hotel,2017-02-08,2017-02-09,2016-10-18,1,1,0,FB,Yes,No,No Deposit,Online,Yes,Check-In,Yes,30,110
M,53,caucasian,College,25K --50K,West,Airport Hotels,2015-04-25,2015-04-28,2014-11-23,2,2,2,FB,Yes,Yes,No Deposit,Direct,Yes,Canceled,Yes,5,166
F,53,Asian American,College,25K --50K,South,Airport Hotels,2015-11-19,2015-11-21,2015-10-06,2,3,0,FB,No,No,No Deposit,Agent,Yes,Canceled,No,0,207
M,60,Latino,College,>100K,East,City Hotel,2017-02-18,2017-02-19,2016-11-12,2,1,1,FB,No,No,No Deposit,Online,Yes,Canceled,Yes,40,244
M,41,African American,College,50K -- 100K,East,Airport Hotels,2015-10-19,2015-10-20,2015-09-06,2,1,0,FB,No,No,No Deposit,Agent,No,Check-In,Yes,5,187
M,38,Asian American,College,50K -- 100K,East,Resort,2017-03-15,2017-03-16,2016-11-05,2,2,0,BB,Yes,No,No Deposit,Online,No,Check-In,Yes,20,131
F,55,Asian American,High-School,<25K,West,Airport Hotels,2017-04-30,2017-05-03,2017-04-12,4,2,0,FB,No,No,Non-Refundable,Online,Yes,Check-In,Yes,25,122
F,43,Latino,College,<25K,North,Airport Hotels,2015-04-28,2015-05-01,2015-01-17,1,2,1,FB,No,No,Non-Refundable,Online,No,No-Show,Yes,10,147
F,48,Latino,High-School,50K -- 100K,South,Resort,2015-04-28,2015-04-30,2014-12-23,2,2,0,FB,Yes,No,No Deposit,Online,Yes,Check-In,Yes,20,146
F,66,caucasian,Mid-School,<25K,South,City Hotel,2015-04-28,2015-05-01,2015-04-24,1,1,0,BB,No,No,No Deposit,Direct,Yes,Check-In,Yes,5,142
M,36,African American,Mid-School,25K --50K,North,City Hotel,2015-04-28,2015-04-29,2015-02-01,2,1,0,HB,Yes,Yes,Refundable,Online,Yes,Check-In,Yes,10,173
M,68,Latino,Grad,50K -- 100K,West,City Hotel,2015-04-28,2015-04-29,2015-04-19,3,1,0,HB,Yes,No,No Deposit,Online,Yes,Canceled,Yes,10,105
F,21,Asian American,High-School,<25K,South,Resort,2015-04-28,2015-04-29,2015-01-29,2,1,0,BB,No,No,Refundable,Direct,Yes,Check-In,No,0,183
F,67,Latino,Mid-School,50K -- 100K,North,Airport Hotels,2015-04-28,2015-05-01,2014-12-07,4,3,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,25,195
F,24,Asian American,College,50K -- 100K,South,City Hotel,2015-04-28,2015-04-29,2015-01-27,2,1,1,HB,No,No,No Deposit,Direct,Yes,No-Show,Yes,5,240
F,25,African American,High-School,>100K,South,Resort,2015-04-28,2015-04-29,2014-10-14,4,2,1,HB,Yes,No,No Deposit,Direct,No,Check-In,No,0,108
M,52,Asian American,Grad,25K --50K,West,Airport Hotels,2015-04-28,2015-04-29,2015-01-16,1,1,1,BB,No,No,Refundable,Direct,No,Canceled,Yes,10,226
F,41,Asian American,High-School,50K -- 100K,East,Resort,2015-04-28,2015-05-01,2015-04-16,2,1,1,HB,No,No,Non-Refundable,Online,Yes,Canceled,No,0,122
M,35,Latino,Mid-School,25K --50K,West,Airport Hotels,2015-04-28,2015-04-30,2015-01-07,2,2,1,HB,No,No,No Deposit,Direct,Yes,Check-In,Yes,10,169
M,54,African American,College,25K --50K,South,Resort,2015-04-28,2015-04-30,2015-04-21,3,2,0,HB,Yes,Yes,No Deposit,Agent,No,Check-In,Yes,25,118
M,47,Latino,College,<25K,South,Resort,2015-04-28,2015-04-29,2015-04-15,2,1,1,HB,Yes,No,No Deposit,Agent,Yes,Check-In,Yes,40,168
F,26,Latino,College,<25K,West,Airport Hotels,2015-04-28,2015-05-01,2014-11-16,1,2,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,10,231
M,28,African American,College,25K --50K,West,Airport Hotels,2015-04-28,2015-04-30,2014-12-02,1,1,0,HB,Yes,No,Refundable,Online,No,Check-In,Yes,15,129
F,30,Latino,College,<25K,South,City Hotel,2015-04-28,2015-04-29,2015-01-09,1,2,2,HB,Yes,No,No Deposit,Online,Yes,Check-In,Yes,25,244
F,30,caucasian,High-School,50K -- 100K,East,City Hotel,2015-04-28,2015-04-30,2014-12-02,4,1,1,HB,No,No,No Deposit,Direct,Yes,Check-In,No,0,108
M,40,Latino,College,<25K,North,Airport Hotels,2015-04-28,2015-04-30,2014-10-16,2,2,0,FB,No,No,Refundable,Online,Yes,No-Show,Yes,10,167
F,57,Asian American,College,25K --50K,South,Resort,2015-04-28,2015-05-01,2015-02-16,4,3,0,BB,Yes,No,No Deposit,Online,Yes,Canceled,Yes,25,241
F,23,Asian American,College,25K --50K,West,Airport Hotels,2015-04-28,2015-04-29,2015-01-19,1,2,0,HB,No,No,Refundable,Online,No,Check-In,Yes,25,164
F,48,Asian American,College,50K -- 100K,South,Resort,2015-04-28,2015-05-02,2014-12-27,2,3,0,FB,No,No,No Deposit,Direct,No,No-Show,Yes,20,150
M,63,African American,College,25K --50K,North,Airport Hotels,2015-04-28,2015-04-29,2014-12-18,2,1,0,BB,No,No,No Deposit,Direct,Yes,Canceled,Yes,25,145
M,30,caucasian,Grad,<25K,West,City Hotel,2015-04-28,2015-04-30,2015-02-17,4,3,0,BB,Yes,No,No Deposit,Direct,Yes,Canceled,Yes,5,226
F,39,African American,High-School,50K -- 100K,South,Resort,2015-04-28,2015-05-01,2015-04-22,5,3,0,HB,No,No,No Deposit,Direct,Yes,Check-In,No,0,151
M,41,caucasian,Mid-School,50K -- 100K,North,Airport Hotels,2015-04-29,2015-05-01,2015-04-12,2,2,1,BB,No,No,No Deposit,Online,Yes,Check-In,No,0,207
F,39,caucasian,Grad,50K -- 100K,South,City Hotel,2015-04-29,2015-04-30,2014-12-11,5,1,0,HB,Yes,No,No Deposit,Online,No,No-Show,Yes,40,162
F,52,caucasian,College,<25K,West,City Hotel,2015-04-29,2015-04-30,2014-09-22,3,3,0,FB,No,No,Refundable,Online,Yes,Check-In,No,0,250
F,32,Latino,Grad,<25K,South,Airport Hotels,2015-04-29,2015-05-02,2014-10-18,2,3,0,FB,Yes,Yes,No Deposit,Online,Yes,Canceled,Yes,5,122
M,33,Latino,High-School,25K --50K,North,Airport Hotels,2015-04-29,2015-05-02,2014-11-06,1,1,1,FB,Yes,Yes,No Deposit,Online,Yes,No-Show,No,0,227
F,22,African American,High-School,50K -- 100K,North,Resort,2015-04-29,2015-04-30,2015-03-09,2,1,0,BB,No,No,Non-Refundable,Online,No,Check-In,No,0,246
F,66,African American,Grad,<25K,East,City Hotel,2015-04-29,2015-05-01,2015-03-27,2,1,0,BB,No,No,No Deposit,Online,No,Check-In,Yes,20,242
F,33,African American,College,>100K,East,Resort,2015-04-29,2015-05-02,2014-10-30,4,1,1,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,10,245
F,45,African American,Mid-School,>100K,South,Resort,2015-04-29,2015-05-01,2015-01-27,2,2,0,FB,No,No,Non-Refundable,Agent,Yes,No-Show,Yes,10,228
F,38,Latino,College,50K -- 100K,North,Airport Hotels,2015-04-29,2015-04-30,2015-01-15,2,2,2,FB,No,No,No Deposit,Direct,No,Check-In,Yes,25,131
F,38,caucasian,College,<25K,South,Airport Hotels,2015-04-29,2015-04-30,2014-11-09,2,2,0,FB,Yes,No,Refundable,Direct,Yes,Canceled,Yes,5,165
M,38,Latino,College,50K -- 100K,North,Airport Hotels,2015-04-29,2015-05-02,2014-11-09,1,1,0,BB,No,No,No Deposit,Agent,Yes,No-Show,Yes,40,166
F,67,African American,Grad,<25K,North,Airport Hotels,2015-04-29,2015-04-30,2014-12-02,2,2,0,BB,No,No,Refundable,Online,Yes,Check-In,Yes,10,213
F,33,caucasian,College,50K -- 100K,North,Airport Hotels,2015-04-29,2015-04-30,2014-10-21,2,1,0,HB,No,No,No Deposit,Online,Yes,No-Show,Yes,10,216
M,31,African American,High-School,25K --50K,East,Airport Hotels,2015-04-29,2015-05-03,2015-03-03,4,1,0,HB,No,No,Non-Refundable,Direct,Yes,Canceled,Yes,20,250
F,20,caucasian,Grad,50K -- 100K,North,Airport Hotels,2015-04-29,2015-04-30,2014-11-26,2,1,0,HB,No,No,No Deposit,Online,No,Check-In,Yes,10,221
M,68,African American,Mid-School,50K -- 100K,North,Airport Hotels,2015-04-29,2015-04-30,2015-02-16,2,1,0,HB,No,No,No Deposit,Online,No,Check-In,Yes,5,241
F,38,caucasian,Grad,50K -- 100K,East,Resort,2015-04-29,2015-05-01,2014-12-13,5,1,0,HB,Yes,No,No Deposit,Direct,No,Check-In,Yes,5,246
M,62,caucasian,College,25K --50K,South,City Hotel,2015-04-29,2015-04-30,2014-12-19,1,1,0,HB,Yes,No,No Deposit,Online,Yes,Canceled,No,0,243
F,38,Asian American,Mid-School,<25K,East,Airport Hotels,2015-04-29,2015-05-03,2015-01-30,2,1,0,HB,No,No,No Deposit,Agent,Yes,Check-In,Yes,10,170
M,19,Latino,College,50K -- 100K,South,Airport Hotels,2015-04-29,2015-04-30,2014-10-03,3,2,0,HB,No,No,Refundable,Agent,Yes,Canceled,Yes,20,196
M,60,Asian American,Mid-School,50K -- 100K,West,Airport Hotels,2015-04-29,2015-05-03,2015-02-19,2,1,0,FB,No,No,No Deposit,Direct,Yes,Check-In,Yes,5,192
F,51,Latino,College,50K -- 100K,South,Resort,2017-02-03,2017-02-05,2016-11-07,1,3,0,FB,No,No,Non-Refundable,Online,Yes,Check-In,Yes,20,168
M,55,Latino,Grad,25K --50K,South,Resort,2015-11-13,2015-11-16,2015-10-28,1,2,2,BB,Yes,Yes,No Deposit,Online,Yes,No-Show,Yes,5,234
M,54,Asian American,College,<25K,West,Resort,2015-11-13,2015-11-15,2015-05-20,3,2,0,BB,No,No,No Deposit,Agent,Yes,Canceled,No,0,152
F,51,Latino,Grad,25K --50K,North,City Hotel,2016-02-05,2016-02-06,2015-08-01,1,2,0,HB,No,No,No Deposit,Online,Yes,Check-In,No,0,117
F,26,caucasian,Grad,50K -- 100K,East,City Hotel,2016-10-27,2016-10-29,2016-03-28,3,2,0,HB,Yes,Yes,Refundable,Direct,Yes,Check-In,Yes,10,133
F,46,Latino,Grad,<25K,North,City Hotel,2016-11-04,2016-11-05,2016-06-09,2,2,2,HB,No,No,No Deposit,Direct,Yes,Check-In,Yes,15,141
M,54,Asian American,College,>100K,West,Resort,2016-10-27,2016-10-28,2016-05-31,1,2,1,BB,Yes,No,Refundable,Online,No,Canceled,Yes,40,135
M,55,Asian American,High-School,<25K,South,Airport Hotels,2016-11-04,2016-11-05,2016-05-30,2,2,2,BB,Yes,No,Refundable,Direct,Yes,Check-In,No,0,122
F,62,African American,College,>100K,East,Airport Hotels,2015-05-01,2015-05-02,2015-04-29,2,2,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,5,189
F,27,Asian American,Mid-School,<25K,East,Airport Hotels,2016-04-25,2016-04-26,2015-10-17,3,3,1,HB,No,No,No Deposit,Direct,Yes,Canceled,Yes,10,225
M,59,Asian American,High-School,<25K,West,Airport Hotels,2016-01-03,2016-01-04,2015-10-28,2,1,0,BB,Yes,Yes,Refundable,Agent,No,Check-In,Yes,40,216
M,35,Asian American,High-School,>100K,North,Resort,2017-01-01,2017-01-03,2016-12-06,3,2,0,HB,No,No,No Deposit,Direct,Yes,Check-In,Yes,20,106
M,69,Latino,Mid-School,<25K,East,Resort,2016-01-03,2016-01-05,2016-01-01,2,1,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,15,164
F,46,Asian American,College,<25K,South,Resort,2017-01-01,2017-01-02,2016-08-16,2,1,0,HB,Yes,Yes,No Deposit,Direct,Yes,Check-In,Yes,10,145
M,56,caucasian,Mid-School,50K -- 100K,North,Resort,2015-10-22,2015-10-26,2015-04-01,2,3,1,BB,No,No,Refundable,Agent,Yes,Check-In,Yes,10,173
F,22,Latino,College,>100K,South,Resort,2017-01-11,2017-01-15,2016-07-01,3,3,2,HB,Yes,Yes,No Deposit,Direct,Yes,No-Show,No,0,237
M,63,caucasian,College,>100K,East,City Hotel,2015-07-15,2015-07-17,2015-01-21,3,2,1,BB,Yes,Yes,No Deposit,Direct,Yes,Canceled,Yes,30,119
F,68,caucasian,College,>100K,North,City Hotel,2015-10-22,2015-10-26,2015-04-09,3,1,0,HB,No,No,Refundable,Online,No,Check-In,Yes,25,207
M,36,African American,College,50K -- 100K,South,Airport Hotels,2017-01-11,2017-01-15,2016-09-04,1,2,0,BB,Yes,No,Refundable,Online,No,Check-In,Yes,20,164
F,53,Latino,Grad,<25K,East,Airport Hotels,2015-05-07,2015-05-08,2014-10-29,4,1,0,FB,No,No,No Deposit,Online,Yes,Check-In,Yes,5,107
F,53,African American,Grad,50K -- 100K,South,Resort,2015-05-08,2015-05-10,2014-11-07,3,3,0,FB,No,No,No Deposit,Direct,Yes,No-Show,Yes,40,163
F,36,Latino,High-School,25K --50K,West,Airport Hotels,2015-05-08,2015-05-11,2015-02-16,2,3,0,FB,No,No,Refundable,Direct,No,Canceled,Yes,10,129
M,45,Latino,Mid-School,50K -- 100K,South,Resort,2016-05-12,2016-05-13,2016-01-04,3,2,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,10,118
M,49,caucasian,High-School,25K --50K,East,City Hotel,2015-05-14,2015-05-15,2014-12-24,1,1,0,FB,No,No,Non-Refundable,Online,Yes,Check-In,No,0,192
F,40,Asian American,Mid-School,25K --50K,West,City Hotel,2015-05-16,2015-05-18,2014-11-26,3,1,0,BB,No,No,Refundable,Online,Yes,Check-In,Yes,20,198
M,19,caucasian,Grad,>100K,South,City Hotel,2017-05-07,2017-05-08,2017-01-17,3,1,0,FB,No,No,Refundable,Online,No,Check-In,Yes,5,110
M,19,caucasian,Mid-School,50K -- 100K,West,Resort,2015-05-18,2015-05-19,2015-05-03,2,2,1,BB,No,No,Non-Refundable,Direct,No,Canceled,No,0,128
F,65,Latino,College,<25K,East,City Hotel,2015-05-18,2015-05-22,2015-01-16,3,1,0,HB,No,No,No Deposit,Online,Yes,Check-In,No,0,210
M,39,Asian American,High-School,50K -- 100K,East,Resort,2015-11-13,2015-11-14,2015-06-11,2,1,1,FB,No,No,No Deposit,Agent,Yes,Check-In,Yes,25,146
M,34,caucasian,College,25K --50K,West,City Hotel,2015-09-10,2015-09-11,2015-07-22,4,2,0,BB,No,No,Refundable,Online,No,Check-In,Yes,15,135
F,48,Asian American,College,<25K,South,City Hotel,2016-05-19,2016-05-20,2016-04-01,1,3,0,HB,No,No,No Deposit,Online,Yes,Canceled,Yes,20,116
M,42,caucasian,High-School,50K -- 100K,North,City Hotel,2016-06-07,2016-06-08,2015-11-28,1,1,0,HB,No,No,No Deposit,Online,No,Check-In,Yes,15,190
F,51,African American,Mid-School,>100K,North,City Hotel,2016-07-14,2016-07-16,2016-07-15,1,3,0,HB,No,No,Refundable,Direct,Yes,Check-In,No,0,166
F,53,caucasian,College,<25K,South,Airport Hotels,2016-10-21,2016-10-22,2016-03-28,5,1,0,BB,No,No,No Deposit,Direct,Yes,Canceled,Yes,10,195
F,63,caucasian,Grad,25K --50K,South,Resort,2016-11-23,2016-11-25,2016-07-18,1,2,1,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,25,206
F,66,African American,College,<25K,West,Resort,2016-12-15,2016-12-16,2016-05-14,1,2,0,BB,No,No,No Deposit,Online,No,No-Show,No,0,195
F,22,Asian American,High-School,50K -- 100K,South,Airport Hotels,2017-01-02,2017-01-03,2016-09-24,2,2,0,BB,No,No,No Deposit,Online,Yes,Canceled,Yes,40,188
F,55,African American,High-School,<25K,West,Airport Hotels,2017-02-16,2017-02-18,2016-08-08,2,1,0,BB,No,No,No Deposit,Agent,No,Canceled,Yes,5,125
M,37,caucasian,Mid-School,25K --50K,North,Resort,2017-03-29,2017-03-30,2017-03-22,2,1,1,BB,No,No,Refundable,Online,No,Check-In,Yes,5,141
M,27,African American,College,<25K,East,Resort,2017-05-11,2017-05-12,2017-03-22,2,3,1,HB,Yes,No,No Deposit,Direct,Yes,No-Show,Yes,5,229
F,37,Latino,High-School,50K -- 100K,West,City Hotel,2017-05-04,2017-05-05,2017-04-02,4,3,0,FB,No,No,No Deposit,Agent,Yes,Check-In,Yes,20,143
F,68,caucasian,Grad,50K -- 100K,West,Airport Hotels,2016-10-06,2016-10-07,2016-09-05,2,2,0,FB,No,No,No Deposit,Direct,No,Check-In,Yes,10,234
M,35,Asian American,Grad,25K --50K,West,Resort,2016-12-14,2016-12-16,2016-10-31,2,1,1,BB,Yes,Yes,No Deposit,Online,Yes,Check-In,Yes,15,187
M,54,Latino,Mid-School,50K -- 100K,West,City Hotel,2017-05-12,2017-05-13,2017-02-04,2,2,0,BB,No,No,Refundable,Direct,Yes,No-Show,No,0,182
F,40,Asian American,College,25K --50K,North,Resort,2016-11-17,2016-11-20,2016-06-09,1,2,0,BB,No,No,No Deposit,Online,Yes,Check-In,No,0,164
M,47,Asian American,High-School,25K --50K,West,Resort,2015-10-07,2015-10-09,2015-06-27,1,3,0,FB,No,No,Refundable,Agent,No,Check-In,Yes,5,114
F,66,Latino,High-School,<25K,East,Airport Hotels,2015-07-20,2015-07-21,2015-02-09,4,2,0,HB,No,No,Refundable,Online,Yes,Check-In,No,0,185
M,68,African American,College,>100K,West,Resort,2015-09-17,2015-09-18,2015-02-09,2,2,0,BB,No,No,No Deposit,Online,Yes,Canceled,Yes,20,129
M,55,caucasian,Mid-School,<25K,North,City Hotel,2015-09-25,2015-09-26,2015-04-12,2,1,0,FB,Yes,No,No Deposit,Online,No,Check-In,Yes,25,185
M,50,Asian American,College,50K -- 100K,South,Resort,2016-01-31,2016-02-01,2015-12-18,2,1,0,FB,No,No,Refundable,Agent,Yes,Check-In,Yes,5,183
M,39,caucasian,High-School,50K -- 100K,South,City Hotel,2016-03-01,2016-03-04,2015-11-14,1,1,0,HB,No,No,No Deposit,Online,Yes,Check-In,Yes,5,170
F,50,African American,College,<25K,West,Resort,2016-07-19,2016-07-20,2016-06-02,4,1,0,HB,Yes,No,Refundable,Online,Yes,Check-In,Yes,20,130
M,21,African American,Grad,<25K,East,City Hotel,2017-02-04,2017-02-07,2016-08-05,5,1,1,HB,Yes,No,No Deposit,Online,Yes,Check-In,Yes,20,162
M,68,African American,College,25K --50K,South,Resort,2017-02-16,2017-02-17,2016-08-28,2,2,0,BB,No,No,Refundable,Direct,Yes,Check-In,Yes,20,121
F,22,Latino,College,25K --50K,North,Resort,2017-03-28,2017-03-29,2017-03-15,3,1,0,FB,No,No,No Deposit,Online,Yes,Check-In,Yes,5,177
M,38,Latino,Mid-School,>100K,East,City Hotel,2017-06-12,2017-06-14,2017-06-08,3,1,0,HB,No,No,No Deposit,Online,No,No-Show,Yes,10,176
M,65,Asian American,Mid-School,<25K,South,Airport Hotels,2015-05-27,2015-05-29,2015-05-19,1,2,0,FB,Yes,No,No Deposit,Online,Yes,No-Show,Yes,25,106
M,22,Latino,Grad,25K --50K,South,City Hotel,2015-05-27,2015-05-28,2015-01-23,2,2,0,FB,No,No,No Deposit,Online,Yes,Check-In,No,0,115
F,41,caucasian,Mid-School,25K --50K,South,City Hotel,2015-12-23,2015-12-26,2015-11-25,3,1,0,FB,Yes,No,No Deposit,Direct,Yes,No-Show,Yes,10,163
F,48,caucasian,Grad,50K -- 100K,North,Resort,2015-05-29,2015-05-30,2014-10-27,2,2,0,HB,Yes,Yes,No Deposit,Online,Yes,Check-In,No,0,231
M,50,caucasian,Grad,50K -- 100K,West,Airport Hotels,2015-05-29,2015-05-30,2014-11-07,3,2,0,BB,No,No,No Deposit,Online,Yes,No-Show,Yes,20,100
F,18,caucasian,College,<25K,South,Airport Hotels,2015-05-29,2015-05-30,2015-03-24,4,1,0,FB,No,No,Refundable,Agent,Yes,Check-In,Yes,10,227
F,25,caucasian,College,<25K,South,Resort,2015-05-29,2015-05-30,2014-11-26,2,3,0,HB,No,No,Non-Refundable,Online,Yes,Canceled,No,0,112
M,52,African American,Grad,>100K,South,City Hotel,2015-05-29,2015-05-30,2014-10-21,2,2,1,BB,No,No,Refundable,Online,Yes,Canceled,No,0,157
F,28,Latino,College,50K -- 100K,East,Airport Hotels,2015-05-29,2015-06-01,2015-05-05,2,1,0,BB,No,No,No Deposit,Direct,No,Canceled,Yes,20,183
M,56,Latino,College,25K --50K,West,City Hotel,2015-07-16,2015-07-17,2015-03-28,3,1,1,HB,No,No,Refundable,Online,No,No-Show,No,0,204
M,36,caucasian,College,25K --50K,East,Resort,2015-06-03,2015-06-05,2014-11-15,1,1,0,FB,No,No,No Deposit,Direct,Yes,Canceled,Yes,25,240
M,50,caucasian,College,25K --50K,West,Airport Hotels,2015-09-10,2015-09-12,2015-04-11,1,1,0,BB,No,No,Refundable,Direct,Yes,No-Show,Yes,25,104
F,48,Latino,College,25K --50K,South,City Hotel,2016-05-11,2016-05-12,2015-12-31,3,3,1,FB,No,No,Refundable,Direct,No,Check-In,Yes,10,162
M,39,African American,High-School,25K --50K,North,City Hotel,2015-12-02,2015-12-03,2015-09-01,2,3,0,BB,No,No,No Deposit,Direct,Yes,Canceled,No,0,233
F,50,caucasian,College,<25K,West,Resort,2016-06-01,2016-06-02,2015-11-28,1,1,0,BB,No,No,No Deposit,Direct,Yes,Check-In,Yes,5,163
F,44,African American,Grad,50K -- 100K,South,City Hotel,2017-03-10,2017-03-12,2016-09-16,3,3,0,FB,No,No,No Deposit,Agent,Yes,Canceled,Yes,10,189
F,24,Latino,Mid-School,50K -- 100K,West,City Hotel,2015-06-04,2015-06-05,2015-02-27,1,1,0,FB,No,No,No Deposit,Direct,No,No-Show,Yes,10,119
F,31,Asian American,College,<25K,North,Airport Hotels,2015-12-02,2015-12-03,2015-09-13,5,2,0,BB,No,No,No Deposit,Direct,No,Check-In,No,0,174
M,37,Asian American,High-School,50K -- 100K,South,Resort,2015-06-05,2015-06-08,2015-01-17,3,1,0,HB,No,No,No Deposit,Agent,Yes,Check-In,Yes,25,168
M,27,African American,Mid-School,<25K,East,City Hotel,2015-06-09,2015-06-11,2015-05-10,2,1,0,HB,Yes,No,No Deposit,Online,Yes,Check-In,Yes,30,209
F,34,Asian American,College,<25K,South,Airport Hotels,2015-06-09,2015-06-10,2015-06-03,2,2,0,HB,Yes,No,No Deposit,Direct,No,Canceled,Yes,5,204
F,22,Asian American,College,25K --50K,South,Resort,2015-06-09,2015-06-10,2015-05-24,2,2,0,HB,No,No,No Deposit,Direct,Yes,No-Show,Yes,5,171
F,61,caucasian,Mid-School,<25K,North,City Hotel,2015-06-09,2015-06-10,2015-03-18,2,1,0,BB,No,No,No Deposit,Online,No,Check-In,Yes,25,230
M,39,Latino,Grad,<25K,South,Airport Hotels,2015-06-09,2015-06-10,2015-05-30,4,1,0,FB,No,No,Refundable,Agent,Yes,No-Show,Yes,10,224
M,42,Latino,Mid-School,50K -- 100K,West,Airport Hotels,2015-06-09,2015-06-10,2015-03-11,2,1,0,BB,Yes,No,Refundable,Online,Yes,Canceled,Yes,10,243
F,43,Latino,Grad,<25K,West,City Hotel,2015-06-09,2015-06-12,2014-12-13,2,1,0,FB,No,No,Refundable,Direct,Yes,Check-In,Yes,5,191
M,37,Asian American,High-School,25K --50K,East,Resort,2015-06-09,2015-06-11,2015-01-19,3,3,0,FB,No,No,No Deposit,Direct,Yes,Canceled,Yes,5,233
M,44,Asian American,Grad,25K --50K,South,Airport Hotels,2015-06-09,2015-06-11,2015-05-12,2,3,0,FB,No,No,No Deposit,Direct,No,No-Show,No,0,245
M,62,Asian American,High-School,50K -- 100K,West,City Hotel,2015-06-09,2015-06-10,2015-01-20,2,2,2,HB,Yes,No,No Deposit,Online,Yes,Check-In,Yes,40,203
F,36,Asian American,High-School,>100K,East,Airport Hotels,2015-06-09,2015-06-11,2014-12-28,2,2,0,HB,Yes,No,No Deposit,Direct,Yes,Canceled,Yes,15,146
F,39,Asian American,Mid-School,<25K,South,Airport Hotels,2015-06-09,2015-06-11,2015-01-27,2,2,1,HB,No,No,No Deposit,Online,Yes,Check-In,Yes,5,169
F,66,African American,College,>100K,North,Airport Hotels,2015-06-09,2015-06-10,2015-03-15,1,3,0,BB,Yes,No,No Deposit,Direct,Yes,No-Show,Yes,40,217
F,24,Latino,College,25K --50K,South,Airport Hotels,2015-06-09,2015-06-10,2015-02-10,1,1,1,HB,No,No,No Deposit,Direct,Yes,Check-In,Yes,10,149
M,27,African American,College,<25K,South,City Hotel,2015-06-09,2015-06-10,2015-02-01,2,3,0,BB,No,No,No Deposit,Direct,Yes,Check-In,No,0,104
M,58,Asian American,Mid-School,>100K,North,Resort,2015-06-09,2015-06-10,2014-12-12,2,3,1,HB,No,No,No Deposit,Online,Yes,Canceled,Yes,5,110
F,66,African American,College,<25K,East,Airport Hotels,2015-06-09,2015-06-11,2015-02-01,2,2,1,FB,Yes,No,No Deposit,Direct,No,Check-In,Yes,10,102
F,48,African American,Grad,25K --50K,South,City Hotel,2015-06-09,2015-06-13,2015-06-10,2,2,0,HB,Yes,No,No Deposit,Online,Yes,Canceled,Yes,40,244
F,54,Asian American,College,<25K,South,City Hotel,2015-06-09,2015-06-11,2015-03-18,5,2,1,FB,Yes,Yes,No Deposit,Direct,No,Check-In,Yes,20,172
F,52,Asian American,College,<25K,West,Airport Hotels,2015-06-09,2015-06-12,2015-04-26,3,1,0,FB,No,No,No Deposit,Direct,Yes,Check-In,Yes,15,206
F,52,African American,College,50K -- 100K,East,City Hotel,2015-06-09,2015-06-10,2015-04-29,1,3,0,FB,Yes,No,No Deposit,Online,No,Check-In,Yes,40,238
F,19,Latino,Mid-School,<25K,West,City Hotel,2015-06-09,2015-06-11,2014-12-04,2,1,0,FB,No,No,No Deposit,Online,Yes,No-Show,Yes,5,235
F,35,African American,College,25K --50K,West,Airport Hotels,2015-06-09,2015-06-10,2015-05-01,5,1,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,15,173
F,58,caucasian,College,25K --50K,South,Airport Hotels,2015-06-09,2015-06-12,2015-03-28,2,1,1,BB,No,No,Refundable,Online,Yes,Canceled,No,0,157
